,test,pred,cols,alphs
32,-0.4219118433641452,-0.097956486,c,0.2
36,0.4219118433641452,0.08435602,c,0.2
48,-0.2332753115953495,-0.11259804,c,0.2
52,0.2332753115953495,0.12205895,c,0.2
80,0.1452474754335914,0.076684676,b,0.8
84,-0.1452474754335914,0.010095934,g,0.8
96,-0.4266108291417256,-0.21699238,c,0.2
100,0.4266108291417256,0.30176094,c,0.2
112,-0.103415559772296,0.13341291,c,0.2
115,0.103415559772296,-0.013348271,c,0.2
142,0.0425440216722078,0.13375281,b,0.8
146,-0.0425440216722078,-0.104144834,g,0.8
158,-0.3284288892315147,-0.19424808,c,0.2
162,0.3284288892315147,0.19755137,c,0.2
190,-0.2381016747543288,-0.10948207,c,0.2
194,0.2381016747543288,0.12860167,c,0.2
334,-0.173945039531534,-0.0058014393,c,0.2
338,0.173945039531534,0.063189425,c,0.2
398,-0.1787140796627094,-0.11256361,c,0.2
402,0.1787140796627094,0.15372355,c,0.2
446,-0.30154616254399,-0.029929927,c,0.2
450,0.30154616254399,0.121576846,c,0.2
478,-0.3377644181400646,-0.19185865,c,0.2
482,0.3377644181400646,0.25985894,c,0.2
638,-0.4808537899304039,-0.08515043,c,0.2
642,0.4808537899304039,0.18960528,c,0.2
654,-0.2235309354381471,-0.2668358,c,0.2
658,0.2235309354381471,0.3150064,c,0.2
766,-0.5046232237376732,-0.029878786,c,0.2
770,0.5046232237376732,0.0456071,c,0.2
782,-0.2712768660129058,-0.2825316,c,0.2
786,0.2712768660129058,0.34439516,c,0.2
798,-0.2513201056084487,-0.09778557,c,0.2
802,0.2513201056084487,0.14044622,c,0.2
878,-0.238825858524328,-0.00814418,c,0.2
882,0.238825858524328,0.041464616,c,0.2
